Month,Element,Amount in USD,Year,Day,
November,Albayrak Share,165752.01,2018,7,
November,Albayrak Share,92260.26,2018,8,
November,Albayrak Share,154112.68,2018,10,
November,Albayrak Share,18649.35,2018,11,
November,Albayrak Share,19005.3,2018,12,
November,Albayrak Share,22029.75,2018,13,
November,Albayrak Share,11020.95,2018,14,
November,Albayrak Share,18989.55,2018,15,
November,Albayrak Share,100863.7,2018,17,
November,Albayrak Share,11009.25,2018,18,
November,Albayrak Share,9187.2,2018,19,
November,Albayrak Share,49381.98,2018,21,
November,Albayrak Share,179216.08,2018,22,
November,Albayrak Share,51299.42,2018,24,
November,Albayrak Share,219546.07,2018,25,
November,Albayrak Share,64839.78,2018,26,
November,Albayrak Share,8719.65,2018,27,
November,Albayrak Share,17328.15,2018,28,
November,Albayrak Share,17907.1,2018,29,
December,Albayrak Share,15249.6,2018,1,
December,Albayrak Share,49920.53,2018,2,
December,Albayrak Share,7454.25,2018,3,
December,Albayrak Share,159317.66,2018,4,
December,Albayrak Share,38061.9,2018,5,
December,Albayrak Share,165977.44,2018,6,
December,Albayrak Share,24982.5,2018,8,
December,Albayrak Share,125722.21,2018,9,
December,Albayrak Share,8260.65,2018,10,
December,Albayrak Share,13508.55,2018,11,
December,Albayrak Share,18567.9,2018,12,
December,Albayrak Share,5616,2018,13,
December,Albayrak Share,15722.55,2018,15,
December,Albayrak Share,270251.44,2018,16,
December,Albayrak Share,22619.25,2018,17,
December,Albayrak Share,172692.9,2018,18,
December,Albayrak Share,159681.41,2018,19,
December,Albayrak Share,316527.66,2018,20,
December,Albayrak Share,28051.25,2018,22,
December,Albayrak Share,214322.27,2018,23,
December,Albayrak Share,36590.4,2018,24,
December,Albayrak Share,42585.64,2018,25,
December,Albayrak Share,14758.2,2018,26,
December,Albayrak Share,52863.28,2018,27,
December,Albayrak Share,30482.1,2018,29,
December,Albayrak Share,22703.27,2018,30,
December,Albayrak Share,240447.38,2018,31,
January,Somali Share,30278.14,2018,1,
January,Somali Share,319775.77,2018,2,
January,Somali Share,105353.56,2018,3,
January,Somali Share,182368.38,2018,4,
January,Somali Share,22462,2018,6,
January,Somali Share,74157.88,2018,7,
January,Somali Share,13819.3,2018,8,
January,Somali Share,119284.73,2018,9,
January,Somali Share,238182.04,2018,10,
January,Somali Share,11297,2018,11,
January,Somali Share,12208.9,2018,13,
January,Somali Share,13454.1,2018,14,
January,Somali Share,74094.35,2018,15,
January,Somali Share,13982.1,2018,16,
January,Somali Share,33234.85,2018,17,
January,Somali Share,174306.72,2018,18,
January,Somali Share,183700.97,2018,20,
January,Somali Share,24171.4,2018,21,
January,Somali Share,18818.25,2018,22,
January,Somali Share,25257.61,2018,23,
January,Somali Share,355807.66,2018,24,
January,Somali Share,35098.8,2018,25,
January,Somali Share,24092.17,2018,27,
January,Somali Share,12878.25,2018,28,
January,Somali Share,9904.4,2018,29,
January,Somali Share,16317.4,2018,30,
January,Somali Share,29430.25,2018,31,
February,Somali Share,157421.52,2018,1,
February,Somali Share,312595.86,2018,3,
February,Somali Share,315892.8,2018,4,
February,Somali Share,13544.3,2018,5,
February,Somali Share,17100.6,2018,6,
February,Somali Share,321607.59,2018,7,
February,Somali Share,10095.8,2018,8,
February,Somali Share,11921.25,2018,10,
February,Somali Share,13337.5,2018,11,
February,Somali Share,8709.8,2018,12,
February,Somali Share,155347.64,2018,13,
February,Somali Share,18093.9,2018,14,
February,Somali Share,49040.2,2018,15,
February,Somali Share,28552.15,2018,17,
February,Somali Share,16884.45,2018,18,
February,Somali Share,377438.69,2018,19,
February,Somali Share,22008.8,2018,20,
February,Somali Share,38669.95,2018,21,
February,Somali Share,37167.35,2018,22,
February,Somali Share,28996,2018,24,
February,Somali Share,28758.95,2018,25,
February,Somali Share,28205.65,2018,26,
February,Somali Share,37530.35,2018,27,
February,Somali Share,269518.98,2018,28,
March,Somali Share,21824,2018,1,
March,Somali Share,21997.8,2018,3,
March,Somali Share,75167.72,2018,4,
March,Somali Share,201663.83,2018,5,
March,Somali Share,20071.7,2018,6,
March,Somali Share,112348.34,2018,7,
March,Somali Share,217279.86,2018,8,
March,Somali Share,28410.26,2018,10,
March,Somali Share,48316.4,2018,11,
March,Somali Share,5388.35,2018,12,
March,Somali Share,219917.62,2018,13,
March,Somali Share,275705.15,2018,14,
March,Somali Share,18847.95,2018,15,
March,Somali Share,47692.15,2018,17,
March,Somali Share,156095.58,2018,18,
March,Somali Share,23590.05,2018,19,
March,Somali Share,16133.7,2018,20,
March,Somali Share,38987.3,2018,21,
March,Somali Share,242268.86,2018,22,
March,Somali Share,23278.2,2018,24,
March,Somali Share,186495.98,2018,25,
March,Somali Share,411212.36,2018,26,
March,Somali Share,18767.65,2018,27,
March,Somali Share,41500.8,2018,28,
March,Somali Share,147230.7,2018,29,
March,Somali Share,31397.3,2018,31,
April,Somali Share,30083.97,2018,1,
April,Somali Share,185302.4,2018,2,
April,Somali Share,38601.2,2018,3,
April,Somali Share,367973.97,2018,4,
April,Somali Share,88329.45,2018,5,
April,Somali Share,30058.05,2018,7,
April,Somali Share,18497.05,2018,8,
April,Somali Share,180629.03,2018,9,
April,Somali Share,43155.63,2018,10,
April,Somali Share,12070.85,2018,11,
April,Somali Share,19910.55,2018,12,
April,Somali Share,26767.95,2018,14,
April,Somali Share,239899.63,2018,15,
April,Somali Share,21019.04,2018,16,
April,Somali Share,161168.15,2018,17,
April,Somali Share,234062.87,2018,18,
April,Somali Share,35542.1,2018,19,
April,Somali Share,202900.69,2018,21,
April,Somali Share,17149,2018,22,
April,Somali Share,195185.38,2018,23,
April,Somali Share,9086.55,2018,24,
April,Somali Share,24857.25,2018,25,
April,Somali Share,17053.3,2018,26,
April,Somali Share,16261.99,2018,28,
April,Somali Share,113512.44,2018,29,
April,Somali Share,159059.25,2018,30,
May,Somali Share,192514.65,2018,2,
May,Somali Share,92891.08,2018,3,
May,Somali Share,175198.5,2018,5,
May,Somali Share,20737.75,2018,6,
May,Somali Share,20122.85,2018,7,
May,Somali Share,7225.35,2018,8,
May,Somali Share,207124.57,2018,9,
May,Somali Share,59858.32,2018,10,
May,Somali Share,116364,2018,12,
May,Somali Share,76029.38,2018,13,
May,Somali Share,36504.6,2018,14,
May,Somali Share,168968.03,2018,15,
May,Somali Share,166045.83,2018,16,
May,Somali Share,320915.82,2018,17,
May,Somali Share,28382.75,2018,19,
May,Somali Share,21637,2018,20,
May,Somali Share,14051.95,2018,21,
May,Somali Share,369831.83,2018,22,
May,Somali Share,28662.15,2018,23,
May,Somali Share,26106.85,2018,24,
May,Somali Share,38547.3,2018,26,
May,Somali Share,202158.83,2018,27,
May,Somali Share,38379.44,2018,28,
May,Somali Share,16352.05,2018,29,
May,Somali Share,127110.78,2018,30,
May,Somali Share,13404.6,2018,31,
June,Somali Share,22391.37,2018,2,
June,Somali Share,149151.75,2018,3,
June,Somali Share,34586.75,2018,4,
June,Somali Share,19631.15,2018,5,
June,Somali Share,9879.65,2018,6,
June,Somali Share,127472.83,2018,7,
June,Somali Share,234399.33,2018,9,
June,Somali Share,16062.75,2018,10,
June,Somali Share,29655.44,2018,11,
June,Somali Share,18184.1,2018,12,
June,Somali Share,14961.1,2018,13,
June,Somali Share,500702.33,2018,14,
June,Somali Share,438376.91,2018,18,
