Date,Total Revenue,Somali Share,Albayrak Share,Social Benefits,Month,Year,Day
2018-06-12,33062.0,18184.1,14877.9,165.31,June,2018,12
2018-06-13,27202.0,14961.1,12240.9,136.01,June,2018,13
2018-06-14,910367.88,500702.33,409665.55,4551.84,June,2018,14
2018-06-18,797048.93,438376.91,358672.02,3985.24,June,2018,18
2018-06-19,38606.0,21233.3,17372.7,193.03,June,2018,19
2018-06-20,208204.4,114512.42,93691.98,1041.02,June,2018,20
2018-06-21,71635.0,39399.25,32235.75,358.18,June,2018,21
2018-06-23,54811.2,30146.16,24665.04,274.06,June,2018,23
2018-06-24,38523.0,21187.65,17335.35,192.62,June,2018,24
2018-06-25,23810.0,13095.5,10714.5,119.05,June,2018,25
2018-06-27,556237.05,305930.38,250306.67,2781.19,June,2018,27
2018-06-28,323614.5,177987.98,145626.53,1618.07,June,2018,28
2018-06-30,45119.0,24815.45,20303.55,225.6,June,2018,30
2018-07-02,404257.5,222341.63,181915.88,2021.29,July,2018,2
2018-07-03,45773.0,25175.15,20597.85,228.87,July,2018,3
2018-07-04,222368.88,122302.88,100066.0,1111.84,July,2018,4
2018-07-05,39462.0,21704.1,17757.9,197.31,July,2018,5
2018-07-07,65246.0,35885.3,29360.7,326.23,July,2018,7
2018-07-08,31595.0,17377.25,14217.75,157.98,July,2018,8
2018-07-09,41056.0,22580.8,18475.2,205.28,July,2018,9
2018-07-10,866776.38,476727.01,390049.37,4333.88,July,2018,10
2018-07-11,32180.0,17699.0,14481.0,160.9,July,2018,11
2018-07-12,32513.62,17882.49,14631.13,162.57,July,2018,12
2018-07-14,48459.0,26652.45,21806.55,242.3,July,2018,14
2018-07-15,266080.08,146344.04,119736.04,1330.4,July,2018,15
2018-07-16,41098.0,22603.9,18494.1,205.49,July,2018,16
2018-07-17,221719.16,121945.54,99773.62,1108.6,July,2018,17
2018-07-18,25059.0,13782.45,11276.55,125.3,July,2018,18
2018-07-19,27096.0,14902.8,12193.2,135.48,July,2018,19
2018-07-21,67990.4,37394.72,30595.68,339.95,July,2018,21
2018-07-22,717486.37,394617.5,322868.87,3587.43,July,2018,22
2018-07-23,386003.5,212301.93,173701.58,1930.02,July,2018,23
2018-07-24,125296.55,68913.1,56383.45,626.48,July,2018,24
2018-07-25,429281.15,236104.63,193176.52,2146.41,July,2018,25
2018-07-26,378523.45,208187.9,170335.55,1892.62,July,2018,26
2018-07-28,54214.0,29817.7,24396.3,271.07,July,2018,28
2018-07-29,74066.0,40736.3,33329.7,370.33,July,2018,29
2018-07-30,38980.0,21439.0,17541.0,194.9,July,2018,30
2018-07-31,40541.0,22297.55,18243.45,202.71,July,2018,31
2018-08-01,423422.2,232882.21,190539.99,2117.11,August,2018,1
2018-08-02,34600.0,19030.0,15570.0,173.0,August,2018,2
2018-08-04,72626.0,39944.3,32681.7,363.13,August,2018,4
2018-08-05,231562.6,127359.43,104203.17,1157.81,August,2018,5
2018-08-06,930964.07,512030.24,418933.83,4654.82,August,2018,6
2018-08-07,150195.71,82607.64,67588.07,750.98,August,2018,7
2018-08-08,24627.0,13544.85,11082.15,123.14,August,2018,8
2018-08-09,107120.48,58916.26,48204.22,535.6,August,2018,9
2018-08-11,94041.0,51722.55,42318.45,470.21,August,2018,11
2018-08-12,51437.0,28290.35,23146.65,257.19,August,2018,12
2018-08-13,22728.0,12500.4,10227.6,113.64,August,2018,13
2018-08-14,170803.14,93941.73,76861.41,854.02,August,2018,14
2018-08-15,57909.0,31849.95,26059.05,289.55,August,2018,15
2018-08-16,60431.0,33237.05,27193.95,302.16,August,2018,16
2018-08-18,528155.5,290485.53,237669.98,2640.78,August,2018,18
2018-08-19,651986.88,358592.78,293394.1,3259.93,August,2018,19
2018-08-20,8397.0,4618.35,3778.65,41.99,August,2018,20
2018-08-23,25311.0,13921.05,11389.95,126.56,August,2018,23
2018-08-25,48197.0,26508.35,21688.65,240.99,August,2018,25
2018-08-26,201052.48,110578.86,90473.62,1005.26,August,2018,26
2018-08-27,284783.13,156630.72,128152.41,1423.92,August,2018,27
2018-08-28,42142.0,23178.1,18963.9,210.71,August,2018,28
2018-08-29,52518.0,28884.9,23633.1,262.59,August,2018,29
2018-08-30,41358.0,22746.9,18611.1,206.79,August,2018,30
2018-09-01,63935.0,35164.25,28770.75,319.68,September,2018,1
2018-09-02,449829.45,247406.2,202423.25,2249.15,September,2018,2
2018-09-03,330136.0,181574.8,148561.2,1650.68,September,2018,3
2018-09-04,50102.0,27556.1,22545.9,250.51,September,2018,4
2018-09-05,374411.25,205926.19,168485.06,1872.06,September,2018,5
2018-09-06,16848.0,9266.4,7581.6,84.24,September,2018,6
2018-09-08,396240.81,217932.45,178308.36,1981.2,September,2018,8
2018-09-09,203841.76,112112.97,91728.79,1019.21,September,2018,9
2018-09-10,43365.0,23850.75,19514.25,216.83,September,2018,10
2018-09-11,294211.12,161816.12,132395.0,1471.06,September,2018,11
2018-09-12,60611.0,33336.05,27274.95,303.06,September,2018,12
2018-09-13,234084.06,128746.23,105337.83,1170.42,September,2018,13
2018-09-15,192450.0,105847.5,86602.5,962.25,September,2018,15
2018-09-16,20231.0,11127.05,9103.95,101.16,September,2018,16
2018-09-17,43693.0,24031.15,19661.85,218.47,September,2018,17
2018-09-18,524223.68,288323.02,235900.66,2621.12,September,2018,18
2018-09-19,196653.51,108159.43,88494.08,983.27,September,2018,19
2018-09-20,33890.0,18639.5,15250.5,169.45,September,2018,20
2018-09-22,327305.13,180017.82,147287.31,1636.53,September,2018,22
2018-09-23,48634.0,26748.7,21885.3,243.17,September,2018,23
2018-09-24,416079.25,228843.59,187235.66,2080.4,September,2018,24
2018-09-25,45629.0,25095.95,20533.05,228.15,September,2018,25
2018-09-26,60639.0,33351.45,27287.55,303.2,September,2018,26
2018-09-27,27399.0,15069.45,12329.55,137.0,September,2018,27
2018-09-29,25801.0,14190.55,11610.45,129.01,September,2018,29
2018-09-30,43256.15,23790.88,19465.27,216.28,September,2018,30
2018-10-01,227915.71,125353.64,102562.07,1139.58,October,2018,1
2018-10-02,585248.88,321886.88,263362.0,2926.24,October,2018,2
2018-10-03,613859.5,337622.73,276236.78,3069.3,October,2018,3
2018-10-04,42731.0,23502.05,19228.95,213.66,October,2018,4
